entity_id,legal_name,entity_type,formed_date,status,address_id,agent_id,application_date,revoked_date
ENT-0267,Zane Behavioral PC,Behavioral health,2015-08-14,enrolled,ADDR-C0267,AGT-005,,
ENT-0268,Sable Cardiology LLC,Cardiology,2016-05-01,enrolled,ADDR-C0268,AGT-003,,
ENT-0269,Cross Radiology Inc,Radiology,2021-03-06,enrolled,ADDR-C0269,AGT-003,,
ENT-0270,Dunmore Home LLC,Home health,2019-12-30,enrolled,ADDR-C0270,AGT-007,,
ENT-0271,Vance Home Group,Home health,2012-06-20,enrolled,ADDR-C0271,AGT-006,,
ENT-0272,Quill Physical PC,Physical therapy,2008-10-22,enrolled,ADDR-C0272,AGT-002,,
ENT-0273,Lund Family Group,Family practice,2011-09-23,enrolled,ADDR-C0273,AGT-000,,
ENT-0274,Ames Cardiology PC,Cardiology,2014-08-15,applying,ADDR-C0274,AGT-005,2024-11-17,
ENT-0275,Zane Family Group,Family practice,2008-03-16,enrolled,ADDR-C0275,AGT-005,,
ENT-0276,Pike Cardiology Group,Cardiology,2011-04-26,enrolled,ADDR-C0276,AGT-000,,
ENT-0277,Osei Home LLC,Home health,2015-08-18,enrolled,ADDR-C0277,AGT-002,,
ENT-0278,Dunmore Cardiology PC,Cardiology,2013-08-27,enrolled,ADDR-C0278,AGT-005,,
ENT-0279,Hart Family Inc,Family practice,2014-09-22,enrolled,ADDR-C0279,AGT-006,,
ENT-HARBOR,Harbor Health Devices LLC,DME supplier,2021-02-11,revoked,ADDR-4471-200,AGT-SENTINEL,,2024-01-30
ENT-COASTAL,Coastal Medical Supply LLC,DME supplier,2026-05-28,applying,ADDR-4471-214,AGT-SENTINEL,2026-07-08,
ENT-TIDEWATER,Tidewater DME LLC,DME supplier,2025-11-05,enrolled,ADDR-4471-231,AGT-SENTINEL,2025-11-20,
ENT-GULFSTREAM,Gulfstream Medical LLC,DME supplier,2026-01-08,applying,ADDR-4471-200,AGT-SENTINEL,2026-05-30,
ENT-REDOAK,Red Oak Home Health LLC,Home health,2026-03-01,applying,ADDR-REDOAK,AGT-001,2026-06-20,
ENT-MARSHVIEW,Marshview Supply Co,DME supplier,2026-04-15,applying,ADDR-4471-245,AGT-006,2026-06-10,
ENT-BEACON,Beacon Family Clinic,Family practice,2011-05-02,enrolled,ADDR-BEACON,AGT-004,,
ENT-CLEARPATH,Clearpath Radiology,Radiology,2014-09-14,enrolled,ADDR-CLEARPATH,AGT-000,,
ENT-NORTHSTAR,Northstar Physical Therapy,Physical therapy,2019-02-01,enrolled,ADDR-NORTHSTAR,AGT-004,,
ENT-PROBE-V1,Probe Alpha Medical LLC,DME supplier,2026-05-01,applying,ADDR-4471-270,AGT-SENTINEL,2026-06-25,
ENT-PROBE-V2,Probe Beta Medical LLC,DME supplier,2026-05-02,applying,ADDR-4471-280,AGT-SENTINEL,2026-06-26,
ENT-PROBE-V3,Probe Gamma Medical LLC,DME supplier,2026-05-03,applying,ADDR-4471-290,AGT-PROBECLEAN,2026-06-27,
ENT-PROBE-V4,Probe Delta Medical LLC,DME supplier,2026-05-04,applying,ADDR-PROBE-V4,AGT-PROBECLEAN,2026-06-28,
